OFC_CD,OFC_ENG_NM,PRNT_OFC_CD,CRE_DT,CRE_USR_ID,UPD_DT,UPD_USR_ID,DELT_FLG
BLMBA,"WILSON SONS AGENCIA MARITIMA LTDA, BELEM",SAOBB,2021-03-20T05:58:18,sabrina.brito@one-line.com,2021-03-20T05:58:18,sabrina.brito@one-line.com,N
TUXBA,"MERITUS HOLDINGS, S.A. DE C.V.",MEXBB,2018-08-15T22:35:43,renan.mendonca@one-line.com,2019-03-05T02:35:25,astrid.ramos@one-line.com,N
TUXBB,"MERITUS HOLDINGS, S.A. DE C.V.",MEXBB,2018-08-15T22:18:20,renan.mendonca@one-line.com,2022-10-19T18:57:10,tom.waller@one-line.com,Y
SFSBA,WILSON SONS AGÊNCIA MARÍTIMA LTDA - SAO FRANCISCO DO SUL,SAOBB,2019-10-15T01:45:52,sabrina.brito@one-line.com,2019-10-15T01:45:52,sabrina.brito@one-line.com,N
BRGBA,TRANSNEPAL FREIGHT SERVICES PVT. LTD.,MUMBB,2019-10-15T10:40:24,angie.tan@one-line.com,2019-10-16T13:53:46,angie.tan@one-line.com,N
CJBBA,WESTSHIP LOGISTICS PVT LTD,MUMBB,2020-04-28T13:17:16,angie.tan@one-line.com,2021-10-22T11:01:24,jinzhuang.pang@one-line.com,N
ALJBA,SARL ROMEU ALGERIE,LONHQ,2020-02-16T19:30:56,koray.mertler@one-line.com,2021-12-13T19:03:24,james.neligan@one-line.com,N
SPOBB,OCEAN NETWORK EXPRESS (LATINA) LTDA. - SAO PAULO (PPA),SAOHQ,2021-06-17T21:35:31,sergio.marques@one-line.com,2023-04-04T00:43:15,gabriele.oliveira@one-line.com,N
MUCBB,OCEAN NETWORK EXPRESS (EUROPE) LTD. GERMANY BRANCH - MUNICH,HAMBB,2023-07-12T18:47:39,james.neligan@one-line.com,2023-07-20T10:23:37,christopher.gan@one-line.com,N
DAKBA,R-LOGISTIC SENEGAL,LONHQ,2023-07-18T17:45:42,koray.mertler@one-line.com,2023-10-24T22:16:10,daniel.bateman@one-line.com,N
COTBA,R-LOGISTIC BENIN SA,LONHQ,2023-07-18T17:52:38,koray.mertler@one-line.com,2023-10-24T22:15:53,daniel.bateman@one-line.com,N
JPNBB,OCEAN NETWORK EXPRESS (NORTH AMERICA) INC.,RICHQ,2018-05-26T03:54:40,rachel.estes@one-line.com,2023-10-16T13:32:14,christopher.gan@one-line.com,Y
VTZBA,UNITED LINER SHIPPING SERVICES LLP,MUMBB,2018-03-22T11:02:15,angie.tan@one-line.com,2021-10-22T11:02:28,jinzhuang.pang@one-line.com,N
MACBA,AGENCIA DE NAVEGACAO KA FUNG LDA,HKGHQ,2018-03-06T16:19:38,gerard.tay@one-line.com,2018-03-13T15:13:16,gerard.tay@one-line.com,N
SWABA,TRANSOCEAN SHIPPING AGENCY CO. LTD,SZPBB,2018-03-09T08:17:22,gerard.tay@one-line.com,2018-04-24T13:54:13,phoebe.tse@one-line.com,N
JIXBB,OCEAN NETWORK EXPRESS (CHINA) LTD. - JIAXING,NBOBB,2018-03-02T11:09:44,gerard.tay@one-line.com,2020-06-29T16:32:00,phoebe.tse@one-line.com,N
TEMBA,OCEAN NETWORK EXPRESS (GHANA) LIMITED,LONHQ,2018-03-29T18:49:26,clair.willis@one-line.com,2019-08-30T16:55:52,maria.godinho@one-line.com,N
ADDBA,CLS LOGISTICS - ADDIS ABABA - ETHIOPIA,LONHQ,2018-03-09T23:27:14,clair.willis@one-line.com,2019-10-21T21:59:07,james.neligan@one-line.com,N
JIBBA,EAST AFRICA COMMERCIAL SHIPPING,LONHQ,2018-03-09T23:31:20,clair.willis@one-line.com,2022-02-23T18:09:31,maria.godinho@one-line.com,N
ABJBA,MOL COTE DIVOIRE,LONHQ,2018-03-20T23:38:50,clair.willis@one-line.com,2018-03-27T18:26:31,clair.willis@one-line.com,Y
ALGBA,"TRANSPORTES Y CONSIGNACIONES MARITIMAS, SA - ALGECIRAS - SPAIN",BCNBB,2018-03-27T23:45:15,clair.willis@one-line.com,2021-05-28T19:43:26,james.neligan@one-line.com,Y
PAIBA,"MERCATOR PERU, PAITA",LIMBB,2018-03-27T21:43:03,thiago.fernandes@one-line.com,2023-09-26T22:11:36,vitor.monteiro@one-line.com,Y
CLLBA,"MERCATOR PERU, CALLAO",LIMBB,2018-03-27T21:39:23,thiago.fernandes@one-line.com,2023-09-26T22:10:55,vitor.monteiro@one-line.com,Y
YGNBA,ONE OCEAN NETWORK EXPRESS (MYANMAR) LTD - YANGON,SINHQ,2018-03-19T14:18:32,angie.tan@one-line.com,2018-04-23T10:31:32,angie.tan@one-line.com,Y
